2026-06-16 21:53:36 | INFO | ─── Запуск публикации ───
2026-06-16 21:53:36 | INFO | Генерация фразы (промпт #1)...
2026-06-16 21:53:59 | WARNING | Генерация через ИИ — сетевая ошибка (попытка 1/3): ('Connection aborted.', ConnectionResetError(10054, 'Удаленный хост принудительно разорвал существующее подключение', None, 10054, None))
2026-06-16 21:54:24 | WARNING | Генерация через ИИ — сетевая ошибка (попытка 2/3): ('Connection aborted.', ConnectionResetError(10054, 'Удаленный хост принудительно разорвал существующее подключение', None, 10054, None))
2026-06-16 21:54:59 | WARNING | Генерация через ИИ — таймаут (попытка 3/3): HTTPSConnectionPool(host='api.openai.com', port=443): Read timed out. (read timeout=30)
2026-06-16 21:54:59 | ERROR | Генерация через ИИ — все попытки исчерпаны: HTTPSConnectionPool(host='api.openai.com', port=443): Read timed out. (read timeout=30)
2026-06-16 21:54:59 | INFO | Использована запасная фраза
2026-06-16 21:55:20 | WARNING | Отправка в Telegram — таймаут (попытка 1/3): HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8558251289:AAHvOsFOyNPC06wj8Luq9OBZQk4WmnpNHQE/sendMessage (Caused by ConnectTimeoutError(<HTTPSConnection(host='api.telegram.org', port=443) at 0x14bfe083ed0>, 'Connection to api.telegram.org timed out. (connect timeout=30)'))
2026-06-16 21:55:46 | WARNING | Отправка в Telegram — таймаут (попытка 2/3): HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8558251289:AAHvOsFOyNPC06wj8Luq9OBZQk4WmnpNHQE/sendMessage (Caused by ConnectTimeoutError(<HTTPSConnection(host='api.telegram.org', port=443) at 0x14bfe170190>, 'Connection to api.telegram.org timed out. (connect timeout=30)'))
2026-06-16 21:56:12 | WARNING | Отправка в Telegram — таймаут (попытка 3/3): HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8558251289:AAHvOsFOyNPC06wj8Luq9OBZQk4WmnpNHQE/sendMessage (Caused by ConnectTimeoutError(<HTTPSConnection(host='api.telegram.org', port=443) at 0x14bfe170410>, 'Connection to api.telegram.org timed out. (connect timeout=30)'))
2026-06-16 21:56:12 | ERROR | Отправка в Telegram — все попытки исчерпаны: HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8558251289:AAHvOsFOyNPC06wj8Luq9OBZQk4WmnpNHQE/sendMessage (Caused by ConnectTimeoutError(<HTTPSConnection(host='api.telegram.org', port=443) at 0x14bfe170410>, 'Connection to api.telegram.org timed out. (connect timeout=30)'))
2026-06-16 21:56:12 | ERROR | ❌ Не удалось опубликовать сообщение
2026-06-16 21:56:12 | INFO | ─── Публикация завершена ───

2026-06-16 22:19:45 | INFO | ─── Запуск публикации ───
2026-06-16 22:19:45 | INFO | Генерация фразы (промпт #2)...
2026-06-16 22:19:48 | WARNING | Генерация через ИИ — сетевая ошибка (попытка 1/3): 401 Client Error: Unauthorized for url: https://api.openai.com/v1/chat/completions
